query_number,query_type,question,s,comment,mapping_comment,drugsFuzzy,indications,targets,species,effects,parameterComment,toxicityParameter,doseType,route,ages,sex,studyGroup,isPreclinical,concomitants
1,Retrieve : Drug Name + Species--> ADRs,What are the ADRs of Sunitinib in human,4300,Sunitinib and sunitinib Malate have to be selected as drug.,Why drug fuzzy is used when Sunitinib is recognized by TERMite,Sunitinib,,,Human,,,,,,,,,,Empty
2,Retrieve : Drug Name + Species +ADRs--> Doses,At which dose neutropenia occured for suntinib in homo sapiens,97,Sunitinib and sunitinib Malate have to be selected as drug. Use the safety rules on ADRs on MedDRA retrieval.,Rules on MedDRA not yet implemented,Sunitinib,,,Human,Agranulocytosis; Autoimmune neutropenia; Benign ethnic neutropenia; Cyclic neutropenia; Febrile neutropenia; Granulocytopenia; Idiopathic neutropenia; Neutropenia,,,,,,,,,Empty
3,Retrieve : Drug Name + Species--> ADRs,What are the ADRs Of cabozantininb in rats,518,,cabozantinib not recognized by TERMite,Cabozantinib,,,Rat,,,,,,,,,,Empty
4,Retrieve : Drug Name + Species+ ADRs--> ADRs,Does abemaciclib cause liver disorders in rats or mice?,2,See MedDRA rules: select all PT terms under the parent Hepatic and hepatobiliary disorders NEC.,Liver disease not following MedDRA rules,Abemaciclib,,,Rat; Mouse,Hepatic and hepatobiliary disorders NEC,,,,,,,,,Empty
5,Retrieve : ADRs name + Species--> drugs + dose + Dosing regimen + Route,"What are the drug causing neutropenia in human, at which dose, dosing regimen and route?",37838,,Neutropenia is not following MedDRA rules,,,,Human,Agranulocytosis; Autoimmune neutropenia; Benign ethnic neutropenia; Cyclic neutropenia; Febrile neutropenia; Granulocytopenia; Idiopathic neutropenia; Neutropenia,,,,,,,,,Empty
6,Retrieve : ADRs name + Species class--> drugs,Does abemaciclib cause liver disorders in rats or mice,66,,PP AI failed; Rodent in the species taxonomy is broader than mouse and rat. MedDRA rules are not yet implemented.,Abemaciclib,,,Rodent,Agranulocytosis; Autoimmune neutropenia; Benign ethnic neutropenia; Cyclic neutropenia; Febrile neutropenia; Granulocytopenia; Idiopathic neutropenia; Neutropenia,,,,,,,,,Empty
7,Retrieve : ADRs name + Species (boolean Op) --> drugs,What are the drug causing neutropenia in at least one preclinical species and Human with IV administration,7620,Boolean operator on species. Use the Safety general rules for preclinical.,PP AI failed; MedDRA rules are not yet implemented. Preclinical species list does not exactly match PharmaPendium Safety rules.,,,,"Human AND (Rat, Mouse, Dog, pig, minipig, Cynomolgus Monkey, Monkey (unspecified), Rhesus Monkey, Rabbit)",Agranulocytosis; Autoimmune neutropenia; Benign ethnic neutropenia; Cyclic neutropenia; Febrile neutropenia; Granulocytopenia; Idiopathic neutropenia; Neutropenia,,,,intravenous; intravenous/subcutaneous; oral/intravenous,,,,Yes,Empty
8,Retrieve : Drug class + Species+ Route+dose regimen --> ADRs,What are the adverse events found for inhibitors of kinases in human after IV administration in repeated doses,1851,"Return a concise table of the 20 most frequent ADRs, ranked by the percentage of drugs that exhibit each ADR. Include columns: ADR and % of drugs.",Kinase was identified as a target but it is a drug class.,Kinase inhibitors,,,Human,,,,Repeated,intravenous,,,,,Empty
10,Retrieve : Drug Name+ Parameter name--> Parameter Values,what is the NOAEL for sunitinib,43,Sunitinib and sunitinib Malate have to be selected as drug. Use the safety rules on ADRs on MedDRA retrieval.,,Sunitinib,,,,,,NOAEL,,,,,,,Empty
11,Retrieve : Drug Name+ Parameter name + Species--> Parameter Values,what is the No Observed Adverse Effect Level for sunitinib in rats,33,Sunitinib and sunitinib Malate have to be selected as drug. Use the safety rules on ADRs on MedDRA retrieval.,,Sunitinib,,,Rat,,,NOAEL,,,,,,,Empty
12,Retrieve : Drug Name+ Parameter name + Species + Toxicity--> Parameter Values,what is the NOAEL for sunitinib in rats related to maternal  toxicity,1,,Maternal toxicity was searched in effects.,Sunitinib,,,Rat,,Maternal toxicity,NOAEL,,,,,,,Empty
13,Retrieve : ADRs name boolean (OR) + Species--> drugs + dose + Dosing regimen + Route,"What are the drug causing neutropenia or Thrombocytopenia in human, at which dose, dosing regimen and route?",61198,,MedDRA rules are not yet implemented. OR is managed correctly between effects.,,,,Human,Agranulocytosis; Autoimmune neutropenia; Benign ethnic neutropenia; Cyclic neutropenia; Febrile neutropenia; Granulocytopenia; Idiopathic neutropenia; Neutropenia; Heparin-induced thrombocytopenia test; Heparin-induced thrombocytopenia test positive; Haemangioma-thrombocytopenia syndrome; Autoimmune heparin-induced thrombocytopenia; Heparin-induced thrombocytopenia; Immune thrombocytopenia; Non-immune heparin associated thrombocytopenia; Spontaneous heparin-induced thrombocytopenia syndrome; Thrombocytopenia; Thrombocytopenia neonatal; Thrombosis with thrombocytopenia syndrome,,,,,,,,,Empty
14,Retrieve : ADRs name boolean (AND) + Species--> drugs + dose + Dosing regimen + Route,"What are the drug causing neutropenia and cytopenia in human, at which dose, dosing regimen and route?",60128,,MedDRA rules are not yet implemented. AND is managed correctly between effects.,,,,Human,(Agranulocytosis; Autoimmune neutropenia; Benign ethnic neutropenia; Cyclic neutropenia; Febrile neutropenia; Granulocytopenia; Idiopathic neutropenia; Neutropenia) AND (Heparin-induced thrombocytopenia test; Heparin-induced thrombocytopenia test positive; Haemangioma-thrombocytopenia syndrome; Autoimmune heparin-induced thrombocytopenia; Heparin-induced thrombocytopenia; Immune thrombocytopenia; Non-immune heparin associated thrombocytopenia; Spontaneous heparin-induced thrombocytopenia syndrome; Thrombocytopenia; Thrombocytopenia neonatal; Thrombosis with thrombocytopenia syndrome),,,,oral; intravenous; intramuscular; subcutaneous; intradermal; intraarterial; inhalation; intrathecal; intraperitoneal; intracerebral; intracerebroventricular; intravesical; intravitreal; intranasal; rectal; topical; transdermal; buccal; sublingual; Unreported,,,,,Empty
15,Retrieve : Drug indication + species + route --> ADRs,What are the adverse events found for drugs treating non small lung cancer in human with subcutaneous administration?,13559,,,,non small lung cancer,,Human,adverse*; toxicity; side effect; adverse drug reaction; adverse event,,,,subcutaneous,,,,,Empty
